match_id,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10,first_5_won
2488145633,21,73,86,54,102,36,56,14,6,18,true
2488145576,65,7,40,102,74,54,14,81,33,5,false
2488145031,21,11,50,54,44,75,63,102,42,49,false
2488144560,71,8,11,99,35,59,104,45,102,44,true
2488144353,27,23,32,102,98,44,14,9,67,1,true
2488144164,14,8,57,6,102,9,39,41,18,30,true
2488144163,40,102,99,84,60,89,2,20,112,83,false
2488144096,53,94,32,4,54,41,9,36,102,10,false
2488144077,102,32,14,95,44,81,98,64,42,35,true
2488143918,47,51,5,40,22,2,48,52,20,102,false
2488143819,64,54,57,2,49,50,102,42,14,74,false
2488143687,13,10,30,26,28,74,102,48,86,36,false
2488143597,74,30,41,36,68,32,35,54,57,102,true
2488143434,26,44,54,7,102,86,9,42,106,73,false
2488143408,102,35,11,75,7,62,84,93,86,14,true
2488143298,102,104,113,4,92,19,61,35,59,99,false
2488143023,97,31,113,101,75,87,70,102,96,19,true
2488142710,21,81,44,46,101,102,75,68,49,53,false
2488142672,112,18,9,102,33,98,42,74,93,5,true
2488142638,44,50,14,49,48,71,74,36,102,8,true
2488142529,70,26,21,67,23,102,9,36,94,73,true
2488142521,64,8,33,98,32,86,85,18,102,2,true
2488142507,68,4,9,8,98,102,1,57,14,47,true
2488142417,102,42,58,38,41,27,57,2,93,22,false
2488141967,101,74,59,6,102,71,93,104,35,11,false
2488141773,51,7,101,41,76,58,30,35,102,6,false
2488141736,98,21,70,57,102,31,6,28,51,44,true
2488141711,1,71,54,26,17,106,102,7,100,57,false
2488141691,51,14,19,36,54,16,44,97,102,77,false
2488141682,44,102,53,57,49,11,22,10,2,85,false
2488141527,96,72,42,81,29,102,59,70,98,11,false
2488141283,17,66,44,102,36,104,67,56,26,43,false
2488140901,102,7,98,48,49,73,86,42,109,32,false
2488140765,14,28,102,94,70,74,12,99,86,51,true
2488140694,1,9,34,28,102,8,2,6,42,49,true
2488140593,100,8,53,49,3,56,104,102,12,21,false
2488140578,42,44,50,73,4,2,30,102,49,21,false
